id,period,amount,game,status,time
1520,2022070110000,6,wingo10,1,1661533423187
1521,2022070110001,5,wingo10,1,1661533423187
1522,2022070110000,6,wingo5,1,1661533423187
1523,2022070110001,4,wingo5,1,1661533423187
1524,2022070110000,6,wingo3,1,1661533423187
1525,2022070110001,2,wingo3,1,1661533423187
1526,2022070110000,6,wingo,1,1661533423187
1527,2022070110001,8,wingo,1,1661533423187
1528,2022070110002,1,wingo,1,1661533620586
1529,2022070110003,4,wingo,1,1661533680067
1530,2022070110004,8,wingo,1,1665038100941
1531,2022070110002,5,wingo5,1,1665038100946
1532,2022070110005,4,wingo,1,1665038160548
1533,2022070110002,0,wingo3,1,1665038160558
1534,2022070110006,4,wingo,1,1665038220611
1535,2022070110007,5,wingo,1,1665038280684
1536,2022070110008,9,wingo,1,1665038340755
1537,2022070110003,2,wingo3,1,1665038340757
1538,2022070110009,0,wingo,1,1665038400826
1539,2022070110003,3,wingo5,1,1665038400828
1540,2022070110002,7,wingo10,1,1665038400840
1541,2022070110010,1,wingo,1,1665038460901
1542,2022070110004,7,wingo3,1,1665038520972
1543,2022070110011,8,wingo,1,1665038520974
1544,2022070110012,6,wingo,1,1665038580036
1545,2022070110013,6,wingo,1,1665038640099
1546,2022070110005,9,wingo3,1,1665038700169
1547,2022070110004,6,wingo5,1,1665038700168
1548,2022070110014,8,wingo,1,1665038700169
1549,2022070110015,1,wingo,1,1665038760236
1550,2022070110016,4,wingo,1,1665038820311
1551,2022070110017,2,wingo,1,1665038880382
1552,2022070110006,0,wingo3,1,1665038880383
1553,2022070110018,8,wingo,1,1665038940456
1554,2022070110005,4,wingo5,1,1665039000534
1555,2022070110003,1,wingo10,1,1665039000532
1556,2022070110019,5,wingo,1,1665039000532
1557,2022070110020,0,wingo,1,1665039060604
1558,2022070110007,8,wingo3,1,1665039060606
1559,2022070110021,7,wingo,1,1665039120692
1560,2022070110022,7,wingo,1,1665039180761
1561,2022070110023,0,wingo,1,1665039240843
1562,2022070110008,3,wingo3,1,1665039240844
1563,2022070110024,2,wingo,1,1665039300918
1564,2022070110006,9,wingo5,1,1665039300919
1565,2022070110025,0,wingo,1,1665039360992
1566,2022070110026,5,wingo,1,1665039420077
1567,2022070110009,6,wingo3,1,1665039420078
1568,2022070110027,8,wingo,1,1665039480153
1569,2022070110028,4,wingo,1,1665039540232
1570,2022070110007,7,wingo5,1,1665039600315
1571,2022070110029,0,wingo,1,1665039600316
1572,2022070110010,8,wingo3,1,1665039600313
1573,2022070110004,3,wingo10,1,1665039600315
1574,2022070110030,4,wingo,1,1665039660385
1575,2022070110031,4,wingo,1,1665039720459
1576,2022070110032,0,wingo,1,1665039780532
1577,2022070110011,2,wingo3,1,1665039780533
1578,2022070110033,2,wingo,1,1665039840603
1579,2022070110034,3,wingo,1,1665039900681
1580,2022070110008,4,wingo5,1,1665039900682
1581,2022070110035,2,wingo,1,1665039960760
1582,2022070110012,0,wingo3,1,1665039960761
1583,2022070110036,3,wingo,1,1665040020832
1584,2022070110037,6,wingo,1,1665040080911
1585,2022070110038,9,wingo,1,1665040140993
1586,2022070110013,2,wingo3,1,1665040140994
1587,2022070110009,1,wingo5,1,1665040200070
1588,2022070110039,5,wingo,1,1665040200069
1589,2022070110005,3,wingo10,1,1665040200069
1590,2022070110040,5,wingo,1,1665040260141
1591,2022070110041,0,wingo,1,1665040320214
1592,2022070110014,1,wingo3,1,1665040320215
1593,2022070110042,3,wingo,1,1665040380279
1594,2022070110043,8,wingo,1,1665040440350
1595,2022070110044,8,wingo,1,1665040500420
1596,2022070110015,5,wingo3,1,1665040500422
1597,2022070110010,3,wingo5,1,1665040500417
1598,2022070110045,6,wingo,1,1665040560480
1599,2022070110046,9,wingo,1,1665040620551
1600,2022070110047,1,wingo,1,1665040680617
1601,2022070110016,9,wingo3,1,1665040680618
1602,2022070110048,9,wingo,1,1665040740691
1603,2022070110011,6,wingo5,1,1665040800763
1604,2022070110006,5,wingo10,1,1665040800761
1605,2022070110049,3,wingo,1,1665040800762
1606,2022070110050,8,wingo,1,1665040860831
1607,2022070110017,3,wingo3,1,1665040860832
1608,2022070110051,6,wingo,1,1665040920905
1609,2022070110052,8,wingo,1,1665040980974
1610,2022070110053,6,wingo,1,1665041040055
1611,2022070110018,2,wingo3,1,1665041040056
1612,2022070110054,7,wingo,1,1665041100125
1613,2022070110012,5,wingo5,1,1665041100126
1614,2022070110055,8,wingo,1,1665041160193
1615,2022070110056,7,wingo,1,1665041220264
1616,2022070110019,3,wingo3,1,1665041220265
1617,2022070110057,2,wingo,1,1665041280334
1618,2022070110058,5,wingo,1,1665041340410
1619,2022070110013,5,wingo5,1,1665041400490
1620,2022070110007,4,wingo10,1,1665041400491
1621,2022070110059,4,wingo,1,1665041400491
1622,2022070110020,5,wingo3,1,1665041400489
1623,2022070110060,0,wingo,1,1665041460546
1624,2022070110061,1,wingo,1,1665041520603
1625,2022070110062,1,wingo,1,1665041580662
1626,2022070110021,7,wingo3,1,1665041580663
1627,2022070110063,1,wingo,1,1665041640728
1628,2022070110064,2,wingo,1,1665041700792
1629,2022070110014,0,wingo5,1,1665041700793
1630,2022070110065,2,wingo,1,1665041760868
1631,2022070110022,0,wingo3,1,1665041760870
1632,2022070110066,5,wingo,1,1665041820952
1633,2022070110067,4,wingo,1,1665041880025
1634,2022070110068,2,wingo,1,1665041940100
1635,2022070110023,5,wingo3,1,1665041940100
1636,2022070110015,0,wingo5,1,1665042000176
1637,2022070110069,0,wingo,1,1665042000175
1638,2022070110008,3,wingo10,1,1665042000174
1639,2022070110070,9,wingo,1,1665042060245
1640,2022070110071,3,wingo,1,1665042120311
1641,2022070110024,0,wingo3,1,1665042120312
1642,2022070110072,3,wingo,1,1665042180381
1643,2022070110073,1,wingo,1,1665042240461
1644,2022070110025,3,wingo3,1,1665042300543
1645,2022070110016,9,wingo5,1,1665042300540
1646,2022070110074,0,wingo,1,1665042300542
1647,2022070110075,1,wingo,1,1665042360616
1648,2022070110076,0,wingo,1,1665042420680
1649,2022070110077,5,wingo,1,1665042480747
1650,2022070110026,0,wingo3,1,1665042480747
1651,2022070110078,8,wingo,1,1665042540810
1652,2022070110017,9,wingo5,1,1665042600880
1653,2022070110009,0,wingo10,1,1665042600878
1654,2022070110079,0,wingo,1,1665042600879
1655,2022070110080,6,wingo,1,1665042660946
1656,2022070110027,6,wingo3,1,1665042660952
1657,2022070110081,9,wingo,1,1665042720011
1658,2022070110082,3,wingo,1,1665042780075
1659,2022070110083,8,wingo,1,1665042840139
1660,2022070110028,2,wingo3,1,1665042840140
1661,2022070110018,4,wingo5,1,1665042900206
1662,2022070110084,9,wingo,1,1665042900205
1663,2022070110085,8,wingo,1,1665042960280
1664,2022070110086,9,wingo,1,1665043020361
1665,2022070110029,2,wingo3,1,1665043020361
1666,2022070110087,2,wingo,1,1665043080434
1667,2022070110088,8,wingo,1,1665043140507
1668,2022070110019,0,wingo5,1,1665043200590
1669,2022070110010,3,wingo10,1,1665043200591
1670,2022070110089,6,wingo,1,1665043200592
1671,2022070110030,1,wingo3,1,1665043200590
1672,2022070110090,6,wingo,1,1665043260660
1673,2022070110091,4,wingo,1,1665043320737
1674,2022070110092,5,wingo,1,1665043380813
1675,2022070110031,4,wingo3,1,1665043380814
1676,2022070110093,4,wingo,1,1665043440888
1677,2022070110094,7,wingo,1,1665043500968
1678,2022070110020,1,wingo5,1,1665043500969
1679,2022070110095,7,wingo,1,1665043560044
1680,2022070110032,6,wingo3,1,1665043560045
1681,2022070110096,5,wingo,1,1665043620120
1682,2022070110097,3,wingo,1,1665043680194
1683,2022070110098,4,wingo,1,1665043740273
1684,2022070110033,0,wingo3,1,1665043740273
1685,2022070110099,5,wingo,1,1665043800355
1686,2022070110011,2,wingo10,1,1665043800352
1687,2022070110021,2,wingo5,1,1665043800354
1688,2022070110100,5,wingo,1,1665043860423
1689,2022070110034,0,wingo3,1,1665043920503
1690,2022070110101,8,wingo,1,1665043920502
1691,2022070110102,3,wingo,1,1665043980576
1692,2022070110103,9,wingo,1,1665044040653
1693,2022070110035,0,wingo3,1,1665044100734
1694,2022070110022,5,wingo5,1,1665044100732
1695,2022070110104,3,wingo,1,1665044100733
1696,2022070110105,8,wingo,1,1665044160810
1697,2022070110106,9,wingo,1,1665044220885
1698,2022070110107,9,wingo,1,1665044280965
1699,2022070110036,8,wingo3,1,1665044280966
1700,2022070110108,3,wingo,1,1665044340034
1701,2022070110023,1,wingo5,1,1665044400117
1702,2022070110012,3,wingo10,1,1665044400114
1703,2022070110109,0,wingo,1,1665044400115
1704,2022070110110,0,wingo,1,1665044460185
1705,2022070110037,6,wingo3,1,1665044460186
1706,2022070110111,4,wingo,1,1665044520261
1707,2022070110112,3,wingo,1,1665044580334
1708,2022070110113,9,wingo,1,1665045180772
1709,2022070110038,7,wingo3,1,1665045180779
1710,2022070110114,4,wingo,1,1665045240868
1711,2022070110115,7,wingo,1,1665045300944
1712,2022070110024,7,wingo5,1,1665045300945
1713,2022070110116,2,wingo,1,1665045360027
1714,2022070110039,2,wingo3,1,1665045360029
1715,2022070110117,2,wingo,1,1665045420099
1716,2022070110118,0,wingo,1,1665045480184
1717,2022070110119,6,wingo,1,1665045540266
1718,2022070110040,0,wingo3,1,1665045540267
1719,2022070110120,3,wingo,1,1665045600341
1720,2022070110025,7,wingo5,1,1665045600349
1721,2022070110013,7,wingo10,1,1665045600387
1722,2022070110121,4,wingo,1,1665045660418
1723,2022070110041,7,wingo3,1,1665045720508
1724,2022070110122,6,wingo,1,1665045720509
1725,2022070110123,9,wingo,1,1665045780597
1726,2022070110124,5,wingo,1,1665045840673
1727,2022070110125,8,wingo,1,1665045900754
1728,2022070110026,5,wingo5,1,1665045900757
1729,2022070110042,3,wingo3,1,1665045900756
1730,2022070110126,5,wingo,1,1665045960829
1731,2022070110127,8,wingo,1,1665046020914
1732,2022070110128,3,wingo,1,1665046080994
1733,2022070110043,6,wingo3,1,1665046080993
1734,2022070110129,6,wingo,1,1665046140065
1735,2022070110130,2,wingo,1,1665046200145
1736,2022070110027,7,wingo5,1,1665046200147
1737,2022070110014,4,wingo10,1,1665046200150
1738,2022070110131,7,wingo,1,1665046260222
1739,2022070110044,3,wingo3,1,1665046260222
1740,2022070110132,1,wingo,1,1665046320294
1741,2022070110133,5,wingo,1,1665046380372
1742,2022070110134,6,wingo,1,1665046440456
1743,2022070110045,9,wingo3,1,1665046440455
1744,2022070110135,3,wingo,1,1665046500535
1745,2022070110028,4,wingo5,1,1665046500534
1746,2022070110136,1,wingo,1,1665046560668
1747,2022070110137,2,wingo,1,1665046620746
1748,2022070110046,3,wingo3,1,1665046620744
1749,2022070110138,9,wingo,1,1665046680824
1750,2022070110139,1,wingo,1,1665046740905
1751,2022070110047,8,wingo3,1,1665046800984
1752,2022070110140,2,wingo,1,1665046800987
1753,2022070110029,1,wingo5,1,1665046800986
1754,2022070110015,7,wingo10,1,1665046801001
1755,2022070110141,9,wingo,1,1665046860054
1756,2022070110142,2,wingo,1,1665046920135
1757,2022070110143,7,wingo,1,1665046980205
1758,2022070110048,9,wingo3,1,1665046980206
1759,2022070110144,8,wingo,1,1665047040444
1760,2022070110145,7,wingo,1,1665047100547
1761,2022070110030,2,wingo5,1,1665047100585
1762,2022070110146,1,wingo,1,1665047160609
1763,2022070110049,9,wingo3,1,1665047160612
1764,2022070110147,7,wingo,1,1665047220674
1765,2022070110148,0,wingo,1,1665047280747
1766,2022070110149,9,wingo,1,1665047340822
1767,2022070110050,6,wingo3,1,1665047340825
1768,2022070110150,0,wingo,1,1665047400889
1769,2022070110031,3,wingo5,1,1665047400900
1770,2022070110016,7,wingo10,1,1665047400938
1771,2022070110151,7,wingo,1,1665047460958
1772,2022070110152,7,wingo,1,1665047520024
1773,2022070110051,0,wingo3,1,1665047520025
1774,2022070110153,7,wingo,1,1665047580077
1775,2022070110154,5,wingo,1,1665047640145
1776,2022070110032,9,wingo5,1,1665047700204
1777,2022070110155,3,wingo,1,1665047700205
1778,2022070110052,9,wingo3,1,1665047700203
1779,2022070110156,2,wingo,1,1665047760260
1780,2022070110157,0,wingo,1,1665047820317
1781,2022070110158,2,wingo,1,1665047880382
1782,2022070110053,0,wingo3,1,1665047880383
1783,2022070110159,0,wingo,1,1665047940445
1784,2022070110160,0,wingo,1,1665048000522
1785,2022070110033,9,wingo5,1,1665048000521
1786,2022070110017,0,wingo10,1,1665048000522
1787,2022070110161,1,wingo,1,1665048060596
1788,2022070110054,0,wingo3,1,1665048060597
1789,2022070110162,2,wingo,1,1665048120666
1790,2022070110163,5,wingo,1,1665048180742
1791,2022070110164,2,wingo,1,1665048240822
1792,2022070110055,2,wingo3,1,1665048240824
1793,2022070110165,4,wingo,1,1665048300896
1794,2022070110034,7,wingo5,1,1665048300897
1795,2022070110166,3,wingo,1,1665048360973
1796,2022070110167,6,wingo,1,1665048420045
1797,2022070110056,7,wingo3,1,1665048420046
1798,2022070110168,9,wingo,1,1665048480112
1799,2022070110169,6,wingo,1,1665048540187
1800,2022070110170,2,wingo,1,1665048600276
1801,2022070110057,8,wingo3,1,1665048600277
1802,2022070110035,8,wingo5,1,1665048600278
1803,2022070110018,8,wingo10,1,1665048600279
1804,2022070110171,6,wingo,1,1665048660347
